event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,argos:valid-location-manual,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
372402824,true,2014-05-17 15:19:40.000,-74.45600000000002,35.715,,0.0,-130.0,401.6776712,,,"50",35.715,38.515,"0",-74.456,-88.243,6,0,2,,177.0,,,189,125,233,96,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402825,true,2014-05-17 16:04:18.000,-74.41300000000001,35.756,,0.0,-126.0,401.67768,,,"50",35.756,43.332,"0",-74.413,-111.539,7,0,2,,193.0,,,190,47,249,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402826,false,2014-05-17 20:07:57.000,-74.55200000000002,35.7,true,0.0,-125.0,401.6776555,,,"50",35.7,38.429,"1",-74.552,-61.383,10,0,3,,179.0,,,189,105,89,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402827,false,2014-05-17 20:29:50.000,-74.57999999999998,35.664,true,0.0,-134.0,401.6776556,,,"00",35.664,41.495,"B",-74.58,-44.365,2,0,2,,21.0,,,62,254,73,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402828,false,2014-05-17 23:40:47.000,-74.48199999999997,35.884,true,0.0,-137.0,401.6776556,,,"00",35.884,38.446,"B",-74.482,-81.925,2,0,1,,30.0,,,180,227,185,98,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402829,true,2014-05-17 23:55:58.000,-74.493,35.74,,0.0,-134.0,401.6775414,,,"58",35.74,48.029,"0",-74.493,-13.242,6,0,3,,127.0,,,62,254,73,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402830,false,2014-05-18 01:24:22.000,-74.685,35.778,true,0.0,-137.0,401.6776556,,,"00",35.778,46.508,"B",-74.685,-131.356,2,0,2,,16.0,,,177,99,25,99,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402831,true,2014-05-18 01:36:32.000,-74.596,35.696,,0.0,-124.0,401.6776349,,,"57",35.696,38.477,"0",-74.596,-61.432,7,0,2,,112.0,,,180,227,185,98,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402832,true,2014-05-18 01:49:49.000,-74.61000000000001,35.694,,0.0,-114.0,401.6776376,,,"68",35.694,37.088,"1",-74.61,-67.846,7,7,2,,115.0,,,191,238,57,97,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402833,false,2014-05-18 03:19:31.000,,,true,0.0,-134.0,401.6776556,,,"00",,,"Z",,,1,0,,,,,,219,162,153,96,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
