DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag029,102465,Mk10,DS,8,0,1,19,16,2014-05-14 16:29:00,NL,0,35.6371,-74.7441,44.7518,-119.6551,68,,401677667,-129
ZcTag029,102465,Mk10,DS,8,0,1,19,16,2014-05-14 16:29:00,L,0,35.637,-74.744,,,68,,401677668,-129
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-05-14 16:28:13,MB,,,,,,,,401677671,-133
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-05-14 16:28:13,B,,,,,,,,,
ZcTag029,102465,Mk10,DS,11,0,6,17,15,2014-05-14 21:52:55,NK,Z,33.8959,-80.2767,35.358,-72.4454,30,,401677660,-128
ZcTag029,102465,Mk10,DS,11,0,6,17,15,2014-05-14 21:54:05,K,,,,,,,,,-128
ZcTag029,102465,Mk10,DS,8,0,6,35,16,2014-05-15 01:10:38,MA,2,35.5406,-74.7013,40.6012,-49.7356,56,,401677656,-116
ZcTag029,102465,Mk10,DS,8,0,6,35,16,2014-05-15 01:10:38,A,2,35.541,-74.701,,,56,,401677655,-116
ZcTag029,102465,Mk10,DS,2,0,2,19,19,2014-05-15 03:52:26,NL,B,35.543,-74.6785,24.6269,-126.963,,,401677656,-134
ZcTag029,102465,Mk10,DS,2,0,2,19,19,2014-05-15 03:52:26,L,B,35.543,-74.678,,,,,401677657,-134
ZcTag029,102465,Mk10,DS,7,0,5,21,17,2014-05-15 09:07:06,NN,1,35.5484,-74.6224,33.3013,-64.2344,58,,401677674,-121
ZcTag029,102465,Mk10,DS,7,0,5,21,17,2014-05-15 09:07:06,N,1,35.548,-74.622,,,58,,401677675,-121
ZcTag029,102465,Mk10,DS,10,0,4,19,15,2014-05-15 13:31:33,MA,0,35.4935,-74.5445,27.4707,-35.2771,58,,401677663,-122
ZcTag029,102465,Mk10,DS,10,0,4,19,15,2014-05-15 13:31:33,A,0,35.494,-74.545,,,58,,401677663,-122
ZcTag029,102465,Mk10,DS,9,0,3,20,16,2014-05-15 15:09:00,MA,1,35.5333,-74.6501,37.2039,-82.9015,56,,401677688,-117
